DateTime,Prod_Total
8/28/2020,30742
8/29/2020,30935
8/30/2020,30618
8/31/2020,31033
9/1/2020,30780
9/2/2020,31107
9/3/2020,31546
9/4/2020,30435
9/5/2020,30775
9/6/2020,30050
9/7/2020,30720
9/8/2020,30661
9/9/2020,30583
9/10/2020,30339
9/11/2020,29642
9/12/2020,29504
9/13/2020,30394
9/14/2020,29933
9/15/2020,31076
9/16/2020,30876
9/17/2020,30846
9/18/2020,30899
9/19/2020,31186
9/20/2020,31346
9/21/2020,31560
9/22/2020,31431
9/23/2020,31388
9/24/2020,30817
9/25/2020,30309
9/26/2020,29735
9/27/2020,30165
9/28/2020,30606
9/29/2020,29811
9/30/2020,23991
10/1/2020,26615
10/2/2020,29361
10/3/2020,29433
10/4/2020,27867
10/5/2020,29217
10/6/2020,28464
10/7/2020,28657
10/8/2020,27286
10/9/2020,29539
10/10/2020,29696
10/11/2020,29479
10/12/2020,29369
10/13/2020,30328
10/14/2020,29134
10/15/2020,27828
10/16/2020,28262
10/17/2020,28647
10/18/2020,29083
10/19/2020,29359
10/20/2020,29233
10/21/2020,29347
10/22/2020,29905
10/23/2020,29862
10/24/2020,29332
10/25/2020,29301
10/26/2020,28863
10/27/2020,29309
10/28/2020,30841
10/29/2020,31080
10/30/2020,29492
10/31/2020,30196
11/1/2020,30742
11/2/2020,30702
11/3/2020,30853
11/4/2020,30902
11/5/2020,30796
11/6/2020,30215
11/7/2020,30059
11/8/2020,29806
11/9/2020,29590
11/10/2020,30040
11/11/2020,30468
11/12/2020,29849
11/13/2020,30235
11/14/2020,29458
11/15/2020,30058
11/16/2020,29966
11/17/2020,30048
11/18/2020,32989
11/19/2020,33400
11/20/2020,32818
11/21/2020,32982
11/22/2020,31777
11/23/2020,31898
11/24/2020,32123
11/25/2020,29413
11/26/2020,30892
11/27/2020,30458
11/28/2020,30706
11/29/2020,30946
11/30/2020,30351
12/1/2020,12994
12/2/2020,29852
12/3/2020,29674
12/4/2020,29751
12/5/2020,30237
12/6/2020,30875
12/7/2020,31568
12/8/2020,31441
12/9/2020,31635
12/10/2020,31540
12/11/2020,31260
12/12/2020,30745
12/13/2020,31239
12/14/2020,30968
12/15/2020,30670
12/16/2020,31152
12/17/2020,31916
12/18/2020,32436
12/19/2020,31847
12/20/2020,32471
12/21/2020,32630
12/22/2020,32366
12/23/2020,33160
12/24/2020,33149
12/25/2020,33086
12/26/2020,33066
12/27/2020,32930
12/28/2020,33033
12/29/2020,32977
12/30/2020,32927
12/31/2020,33701
1/1/2021,33801
1/2/2021,33481
1/3/2021,33711
1/4/2021,33675
1/5/2021,32502
1/6/2021,32754
1/7/2021,32002
1/8/2021,31616
1/9/2021,31549
1/10/2021,31454
1/11/2021,31560
1/12/2021,31470
1/13/2021,31992
1/14/2021,31827
1/15/2021,32207
1/16/2021,32135
1/17/2021,32541
1/18/2021,32008
1/19/2021,31569
1/20/2021,31453
1/21/2021,35385
1/22/2021,31155
1/23/2021,31483
1/24/2021,30841
1/25/2021,31097
1/26/2021,30645
1/27/2021,32539
1/28/2021,33219
1/29/2021,34372
1/30/2021,33449
1/31/2021,33499
2/1/2021,31560
2/2/2021,33384
2/3/2021,32985
2/4/2021,32967
2/5/2021,32317
2/6/2021,32361
2/7/2021,32926
2/8/2021,33208
2/9/2021,33289
2/10/2021,33444
2/11/2021,33365
2/12/2021,33488
2/13/2021,33152
2/14/2021,32983
2/15/2021,32356
2/16/2021,31317
2/17/2021,32221
2/18/2021,33181
2/19/2021,33049
2/20/2021,32596
2/21/2021,32538
2/22/2021,32055
2/23/2021,32674
2/24/2021,33188
2/25/2021,32792
2/26/2021,32699
2/27/2021,32357
2/28/2021,32342
3/1/2021,33235
3/2/2021,32834
3/3/2021,32774
3/4/2021,32901
3/5/2021,32491
3/6/2021,32398
3/7/2021,32628
3/8/2021,32761
3/9/2021,33177
3/10/2021,32467
3/11/2021,31376
3/12/2021,30605
3/13/2021,30607
3/14/2021,30776
3/15/2021,30202
3/16/2021,30065
3/17/2021,31125
3/18/2021,31782
3/19/2021,31575
3/20/2021,31773
3/21/2021,32650
3/22/2021,32702
3/23/2021,32785
3/24/2021,9627
3/25/2021,48214
3/26/2021,44395
3/27/2021,37825
3/28/2021,35440
3/29/2021,34752
3/30/2021,31530
3/31/2021,32147
4/1/2021,31966
4/2/2021,31319
4/3/2021,31805
4/4/2021,31623
4/5/2021,32149
4/6/2021,31872
4/7/2021,32443
4/8/2021,32827
4/9/2021,32128
4/10/2021,31506
4/11/2021,31712
4/12/2021,31360
4/13/2021,30593
4/14/2021,31270
4/15/2021,30967
4/16/2021,31040
4/17/2021,30879
4/18/2021,31053
4/19/2021,30445
4/20/2021,30847
4/21/2021,30810
4/22/2021,31267
4/23/2021,31509
4/24/2021,31584
4/25/2021,31307
4/26/2021,32199
4/27/2021,31868
4/28/2021,31633
4/29/2021,31656
4/30/2021,31591
5/1/2021,32193
5/2/2021,32220
5/3/2021,32666
5/4/2021,33129
5/5/2021,33272
5/6/2021,33396
5/7/2021,33461
5/8/2021,32467
5/9/2021,32740
5/10/2021,33479
5/11/2021,33997
5/12/2021,33022
5/13/2021,33311
5/14/2021,33432
5/15/2021,33768
5/16/2021,33122
5/17/2021,32991
5/18/2021,33816
5/19/2021,33625
5/20/2021,33658
5/21/2021,33497
5/22/2021,33307
5/23/2021,33185
5/24/2021,33198
5/25/2021,33966
5/26/2021,34105
5/27/2021,33888
5/28/2021,34550
5/29/2021,34168
5/30/2021,34178
5/31/2021,34189
6/1/2021,32501
6/2/2021,33120
6/3/2021,34125
6/4/2021,26140
6/5/2021,32807
6/6/2021,32667
6/7/2021,33786
6/8/2021,32458
6/9/2021,34399
6/10/2021,32971
6/11/2021,31348
6/12/2021,32445
6/13/2021,32306
6/14/2021,32577
6/15/2021,32662
6/16/2021,33171
6/17/2021,33054
6/18/2021,32014
6/19/2021,31544
6/20/2021,32859
6/21/2021,32794
6/22/2021,32473
6/23/2021,32885
6/24/2021,33977
6/25/2021,33174
6/26/2021,32825
6/27/2021,34291
6/28/2021,34096
6/29/2021,33604
6/30/2021,33813
7/1/2021,32690
7/2/2021,34283
7/3/2021,34242
7/4/2021,34360
7/5/2021,33947
7/6/2021,33306
7/7/2021,33273
7/8/2021,33388
7/9/2021,32810
7/10/2021,33139
7/11/2021,33499
7/12/2021,31143
7/13/2021,31421
7/14/2021,32063
7/15/2021,31290
7/16/2021,33406
7/17/2021,25653
7/18/2021,33325
7/19/2021,34339
7/20/2021,35272
7/21/2021,35041
7/22/2021,34370
7/23/2021,33242
7/24/2021,33448
7/25/2021,33565
7/26/2021,33806
7/27/2021,34334
7/28/2021,33974
7/29/2021,33309
7/30/2021,30955
7/31/2021,33322
8/1/2021,33758
8/2/2021,33677
8/3/2021,32545
8/4/2021,33467
8/5/2021,30602
8/6/2021,30922
8/7/2021,30280
8/8/2021,32020
8/9/2021,32318
8/10/2021,32151
8/11/2021,31825
8/12/2021,31344
8/13/2021,31098
8/14/2021,31939
8/15/2021,31248
8/16/2021,31265
8/17/2021,31313
8/18/2021,31246
8/19/2021,29967
8/20/2021,31092
8/21/2021,30834
8/22/2021,30305
8/23/2021,30316
8/24/2021,30532
8/25/2021,30721
8/26/2021,30764
8/27/2021,31173
8/28/2021,30922
8/29/2021,30801
8/30/2021,30759
8/31/2021,30199
9/1/2021,30068
9/2/2021,30035
9/3/2021,30177
9/4/2021,29485
9/5/2021,26898
9/6/2021,29930
9/7/2021,28684
9/8/2021,28272
9/9/2021,28701
9/10/2021,28514
9/11/2021,27094
9/12/2021,25483
9/13/2021,11453
9/14/2021,28339
9/15/2021,28808
9/16/2021,28646
9/17/2021,28604
9/18/2021,28216
9/19/2021,27975
9/20/2021,27599
9/21/2021,27905
9/22/2021,28645
9/23/2021,28703
9/24/2021,28482
9/25/2021,28019
9/26/2021,28229
9/27/2021,28081
9/28/2021,27826
9/29/2021,27668
9/30/2021,28045
